true_archetype,jd_match,project_quality,github_score,cgpa
Research-Deep,70.13,65.76,47.5,9.28
Research-Deep,54.34,64.19,41.28,8.91
Research-Deep,67.88,66.88,48.79,9.23
Research-Deep,68.46,78.76,44.68,8.74
Research-Deep,70.58,66.25,48.78,8.99
Research-Deep,66.71,67.91,52.23,8.95
Research-Deep,65.0,69.89,45.32,9.11
Research-Deep,70.89,74.58,61.42,8.88
Research-Deep,64.41,67.12,46.16,9.34
Research-Deep,67.2,66.96,31.76,9.2
Research-Deep,73.2,75.26,33.34,9.07
Research-Deep,68.82,73.31,48.71,9.07
Research-Deep,72.75,72.41,42.89,9.19
Research-Deep,57.8,70.08,35.3,8.81
Research-Deep,66.07,80.97,31.34,9.29
Research-Deep,56.22,69.99,41.63,9.18
Research-Deep,72.98,76.76,36.51,8.86
Research-Deep,74.01,70.85,27.24,8.66
Research-Deep,61.56,74.98,41.42,9.21
Research-Deep,65.01,72.95,46.26,8.91
Research-Deep,71.2,68.03,36.37,8.89
Research-Deep,59.63,74.92,35.31,9.0
Research-Deep,71.37,74.68,46.65,8.97
Research-Deep,65.04,71.52,23.13,8.57
Research-Deep,58.74,66.02,44.0,8.73
Research-Deep,65.35,79.8,36.44,9.22
Research-Deep,61.46,70.77,30.5,8.9
Research-Deep,73.88,61.64,44.34,9.07
Research-Deep,63.84,63.32,40.72,8.84
Research-Deep,69.63,72.13,56.02,8.93
Research-Deep,60.84,73.08,42.2,9.41
Research-Deep,73.85,74.14,54.63,8.64
Research-Deep,63.52,66.44,36.1,8.59
Research-Deep,72.45,70.67,25.29,8.7
Research-Deep,70.19,77.03,59.97,9.87
Research-Deep,70.9,66.06,18.68,9.08
Research-Deep,62.31,69.51,33.88,8.96
Research-Deep,75.46,72.94,38.41,8.69
Research-Deep,56.28,69.08,39.46,9.53
Research-Deep,68.91,77.9,35.01,8.64
Research-Deep,61.24,67.65,61.28,8.75
Research-Deep,73.87,66.58,49.32,9.12
Research-Deep,66.9,71.76,33.45,9.13
Research-Deep,64.82,64.65,27.22,9.05
Research-Deep,79.05,72.96,38.81,9.09
Research-Deep,77.14,73.32,35.89,9.33
Research-Deep,71.0,81.21,41.83,8.63
Research-Deep,58.42,81.91,57.24,8.95
Research-Deep,65.32,80.77,28.93,8.73
Research-Deep,72.5,69.63,39.95,8.95
Research-Deep,70.36,80.44,40.91,9.19
Research-Deep,53.65,71.71,31.57,8.63
Research-Deep,61.85,70.0,49.16,8.6
Research-Deep,68.21,69.09,36.72,9.3
Research-Deep,71.77,80.02,38.45,8.79
Research-Deep,66.43,73.45,41.77,8.67
Research-Deep,68.63,73.37,65.17,9.56
Research-Deep,62.03,70.28,25.37,8.82
Research-Deep,70.21,79.24,32.71,8.8
Research-Deep,52.97,71.02,29.38,8.84
Research-Deep,61.86,71.43,22.42,8.56
Research-Deep,82.9,64.28,29.03,9.55
Research-Deep,88.34,64.97,36.32,9.1
Research-Deep,80.1,66.08,37.55,9.23
Research-Deep,71.04,69.74,38.66,8.59
Research-Deep,66.33,70.4,42.32,8.83
Research-Deep,71.3,78.08,41.55,9.11
Research-Deep,68.37,72.0,32.78,9.09
Research-Deep,67.32,84.56,55.73,9.12
Research-Deep,62.66,65.33,51.91,9.08
Research-Deep,71.36,61.53,49.27,9.14
Research-Deep,60.23,69.17,42.64,9.02
Research-Deep,65.95,71.38,37.48,9.05
Research-Deep,78.3,56.6,37.63,9.05
Research-Deep,70.07,69.77,22.43,9.1
Research-Deep,80.09,62.8,48.64,8.9
Research-Deep,67.57,65.68,36.66,9.39
Research-Deep,72.08,82.39,51.77,9.13
Research-Deep,80.21,74.63,48.28,8.91
Research-Deep,68.47,67.82,49.9,8.65
Research-Deep,73.48,70.86,51.71,9.23
Research-Deep,80.74,76.38,24.28,8.98
Research-Deep,59.8,68.89,55.11,9.19
Research-Deep,63.11,65.92,40.33,8.64
Research-Deep,63.3,73.87,51.55,9.18
Research-Deep,51.96,73.83,40.72,9.12
Research-Deep,79.31,59.62,34.09,9.18
Research-Deep,56.93,80.86,43.68,9.25
Research-Deep,64.0,76.88,50.68,9.07
Research-Deep,69.64,73.62,31.37,8.96
Research-Deep,66.93,74.3,50.0,8.68
Research-Deep,67.12,80.89,32.56,8.75
Research-Deep,69.42,77.07,40.11,9.4
Research-Deep,74.0,77.05,45.54,9.7
Research-Deep,66.56,59.98,56.04,8.86
Research-Deep,68.76,79.86,23.98,8.62
Research-Deep,56.79,67.24,44.4,9.16
Research-Deep,69.93,63.52,16.9,9.02
Research-Deep,64.7,74.76,47.02,9.04
